ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340380,HP428830,7/2/2008 0:00,049XX N MARINE DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,2024,20,48,3,6,1169842,1933434,2008,2/4/2016 6:33,41.97284532,-87.65083157,"(41.972845315, -87.65083157)"
6340381,HP428814,7/2/2008 0:00,013XX W ARDMORE AVE,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,2013,20,48,77,6,1166245,1938965,2008,2/4/2016 6:33,41.98810042,-87.66389945,"(41.988100417, -87.663899454)"
6340383,HP428918,7/2/2008 9:30,006XX N LAKE SHORE DR,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,1834,18,42,8,6,1179792,1904743,2008,2/4/2016 6:33,41.89389317,-87.61512764,"(41.893893173, -87.615127644)"
6340384,HP428872,7/2/2008 4:00,026XX W WALTON ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1311,12,26,24,6,1158534,1906220,2008,2/4/2016 6:33,41.89840794,-87.69316063,"(41.898407943, -87.693160628)"
6340385,HP428925,7/2/2008 0:00,053XX S KEDZIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,822,8,14,63,26,1155950,1869176,2008,2/4/2016 6:33,41.79680746,-87.70364915,"(41.796807462, -87.703649153)"
6340386,HP428924,7/2/2008 2:00,010XX E 67TH ST,810,THEFT,OVER $500,CEMETARY,FALSE,FALSE,321,3,5,69,6,1184464,1860800,2008,2/4/2016 6:33,41.77320226,-87.59934819,"(41.773202255, -87.599348192)"
6340387,HP428856,7/2/2008 0:00,0000X S WABASH AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,123,1,42,32,6,1176816,1900209,2008,2/4/2016 6:33,41.88151948,-87.6261946,"(41.881519476, -87.626194599)"
6340388,HP428693,7/2/2008 0:01,017XX W 91ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,2221,22,21,73,14,1166392,1844002,2008,2/4/2016 6:33,41.72751031,-87.6660732,"(41.727510312, -87.666073198)"
6340390,HP428541,7/1/2008 9:00,097XX S GREENWOOD AVE,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,511,5,8,50,14,1185261,1840544,2008,2/4/2016 6:33,41.717599,-87.59706196,"(41.717598999, -87.597061964)"
